,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
90,Samarai,-10.62,150.67,301.38,80,24,2.66
91,Flinders,-34.58,150.86,290.98,68,90,4.1
92,Pangnirtung,66.15,-65.71,236.1,99,100,0.81
93,Bredasdorp,-34.53,20.04,288.15,97,0,0.74
94,Salalah,17.02,54.09,295.15,35,32,11.8
95,Isangel,-19.55,169.27,301.15,74,90,3.1
96,Sitka,57.05,-135.33,264.56,48,1,3.1
97,Pocone,-16.26,-56.62,299.33,81,100,1.94
98,Eureka,40.8,-124.16,278.63,93,90,1.46
99,Capaci,38.17,13.24,280.15,75,99,1.5
100,Hong Kong,22.29,114.16,290.39,55,86,4.6
101,Jonava,55.08,24.28,274.59,80,90,4.6
102,Tevriz,57.51,72.4,257.77,96,95,2.09
103,Oodweyne,9.41,45.06,292.07,77,0,9.7
104,Miranda,3.25,-76.23,296.15,78,75,3.1
105,Pacific Grove,36.62,-121.92,281.1,81,1,9.35
106,Monroe,43.15,-77.68,276.44,100,90,7.2
107,Evanston,42.04,-87.69,269.94,79,90,6.7
108,Ambon,-3.7,128.18,300.61,81,100,7.11
109,Luderitz,-26.65,15.16,291.51,78,0,11.41
110,Port Keats,-14.25,129.55,301.58,74,100,1.43
111,Port Alfred,-33.59,26.89,293.15,93,25,2.68
112,Mahebourg,-20.41,57.7,299.97,78,75,4.1
113,Port Hedland,-20.32,118.57,312.15,35,14,4.1
114,Tezu,27.92,96.17,289.1,44,0,0.75
115,Kozan,37.46,35.82,280.39,81,75,1.5
116,Woodstock,43.13,-80.75,275.56,100,90,7.2
117,Port Elizabeth,-33.92,25.57,293.15,88,20,11.3
118,Ponta do Sol,32.67,-17.1,288.01,63,75,4.6
119,Williamsport,41.24,-77.0,290.83,72,1,6.2
120,Esim,4.87,-2.24,297.52,91,0,0.95
121,Port Hardy,50.7,-127.42,275.15,100,90,5.1
122,Agnibilekrou,7.13,-3.2,295.42,94,100,1.18
123,Marzuq,14.4,46.47,285.19,43,0,3.38
124,Bambous Virieux,-20.34,57.76,299.97,78,75,4.1
125,Torbay,47.67,-52.73,278.05,100,90,13.4
126,Priiskovyy,51.93,116.63,252.01,88,100,1.64
127,Borogontsy,62.67,131.17,244.26,97,0,1.31
128,Chapleau,47.84,-83.4,249.15,96,100,5.62
129,West Bay,19.37,-81.42,300.32,78,20,6.2
130,San Patricio,19.22,-104.7,300.27,64,0,1.05
131,Sao Joao da Barra,-21.64,-41.05,298.52,78,85,4.64
132,Hithadhoo,-0.6,73.08,301.49,75,58,5.36
133,Vanavara,60.34,102.28,249.97,98,98,2.68
134,Tessalit,20.2,1.01,284.69,21,99,4.07
135,Lakes Entrance,-37.88,147.98,295.37,38,40,3.13
136,Bluff,-46.6,168.33,287.59,69,96,8.94
137,Margate,51.38,1.39,282.57,87,100,12.3
138,Cherskiy,68.75,161.3,249.22,98,100,1.06
139,Petropavlovsk-Kamchatsky,53.05,158.65,265.15,61,40,3.0
140,Korla,41.76,86.15,272.04,95,100,1.34
141,Magistralnyy,56.17,107.45,252.36,92,97,1.74
142,Datong,40.09,113.29,263.03,74,69,2.06
143,North Bend,43.41,-124.22,280.1,93,90,4.1
144,Ancud,-41.87,-73.82,286.15,93,0,3.1
145,Lagoa,39.05,-27.98,285.76,59,100,4.7
146,Iroquois Falls,48.77,-80.68,252.15,76,90,5.1
147,Mayumba,-3.43,10.66,299.88,77,74,1.57
148,Sao Filipe,14.9,-24.5,292.66,71,47,8.83
149,Yaan,7.38,8.57,297.29,76,0,2.39
150,San Quintin,30.48,-115.95,287.04,79,67,6.58
151,Vilhena,-12.74,-60.15,294.94,91,100,0.64
152,Nabire,-3.37,135.48,306.68,47,4,2.27
153,Monrovia,6.3,-10.8,298.15,94,40,0.88
154,Alenquer,-1.94,-54.74,297.15,88,20,1.0
155,Beringovskiy,63.05,179.32,272.87,86,100,11.48
156,Gigmoto,13.78,124.39,299.88,76,2,7.61
157,Kojori,41.66,44.7,274.15,80,98,3.1
158,Sorland,67.67,12.69,278.67,70,100,16.18
159,Dhidhdhoo,6.88,73.1,300.86,56,0,2.85
160,Vao,-22.67,167.48,297.99,82,77,9.12
161,Cabo San Lucas,22.89,-109.91,289.98,82,5,1.5
162,Thompson,55.74,-97.86,246.15,75,75,2.1
163,Dunedin,-45.87,170.5,288.15,77,67,3.58
164,South Venice,27.05,-82.42,294.46,94,90,1.5
165,Aklavik,68.22,-135.01,242.15,67,40,1.5
166,Dutlwe,-23.98,23.9,295.6,64,100,4.69
167,Vila Franca do Campo,37.72,-25.43,285.15,81,20,5.1
168,Mehamn,71.04,27.85,268.54,91,100,3.9
169,Chhor,25.52,69.77,289.4,23,0,2.67
170,Tautira,-17.73,-149.15,298.89,83,75,3.6
171,Arraial do Cabo,-22.97,-42.03,300.15,83,20,2.1
172,Kaitangata,-46.28,169.85,285.61,79,98,7.77
173,Aljezur,37.32,-8.8,283.17,79,0,2.68
174,Caravelas,-17.71,-39.25,299.24,86,75,7.45
175,Khailar,25.35,78.53,285.32,51,0,1.34
176,Nouadhibou,20.93,-17.03,289.68,72,0,9.58
177,Inirida,3.87,-67.92,298.9,71,98,1.25
178,Dandong,40.13,124.39,267.71,51,100,6.42
179,Kasempa,-13.46,25.83,289.9,96,100,2.55
180,Te Anau,-45.42,167.72,284.02,71,53,5.71
181,Winchester,51.07,-1.32,282.91,93,100,7.7
182,Urmia,37.55,45.08,266.15,73,0,3.1
183,Ambatofinandrahana,-20.55,46.8,288.12,94,91,0.67
184,Porangatu,-13.44,-49.15,295.51,92,92,0.77
185,Nikolskoye,59.7,30.79,274.92,87,90,6.0
186,Atar,20.52,-13.05,284.26,21,3,3.2
187,Avanuorri,71.0,24.66,270.15,79,100,9.8
188,Doha,25.29,51.53,286.74,54,20,6.7
189,San Cristobal,7.77,-72.22,298.15,61,40,3.6
190,Rafraf,37.19,10.18,283.15,100,97,1.5
191,Kataysk,56.29,62.58,261.02,93,91,2.71
192,Nanyuki,0.02,37.07,285.16,80,3,1.14
193,College,64.86,-147.8,238.54,66,0,0.83
194,Kupang,-10.17,123.58,297.15,100,75,3.1
195,Espanola,35.99,-106.08,270.31,36,1,3.1
196,Along,28.17,94.77,285.52,47,0,1.72
197,Strai,58.2,7.9,280.76,87,100,5.1
198,Yangi Marg`ilon,40.43,71.72,275.59,69,100,2.1
199,Tiarei,-17.53,-149.33,298.9,83,75,3.6
200,Deniliquin,-35.53,144.97,302.77,22,4,4.43
201,Aketi,2.74,23.78,292.08,80,7,1.34
202,Mut,36.64,33.44,276.42,62,100,0.32
203,Rorvik,64.86,11.24,278.15,72,100,0.89
204,Chapais,49.78,-74.85,251.15,76,1,3.1
205,Kavieng,-2.57,150.8,301.68,78,80,6.55
206,Mormugao,15.4,73.8,300.15,54,0,3.6
207,Conde,-7.26,-34.91,297.15,88,20,1.0
208,Portales,34.19,-103.33,275.53,55,1,2.1
209,Elizabeth City,36.29,-76.25,293.17,88,90,6.7
210,Ixtapa,20.7,-105.2,294.2,88,20,1.5
211,Iqaluit,63.75,-68.51,245.26,61,40,3.6
212,Kazanskoye,55.64,69.23,259.02,96,100,3.63
213,Mahanoro,-19.9,48.8,299.91,77,75,5.85
214,Katsuura,35.13,140.3,282.84,53,75,4.1
215,Cap Malheureux,-19.98,57.61,300.01,78,75,4.1
216,Klaksvik,62.23,-6.59,276.15,64,100,5.1
217,Kushmurun,52.45,64.63,255.84,93,16,3.08
218,Saquena,-4.67,-73.52,295.9,88,68,1.07
219,Fairbanks,64.84,-147.72,238.54,66,0,0.77
220,Suntar,62.14,117.63,257.61,88,100,4.83
221,Kachug,53.96,105.88,249.76,97,39,0.44
222,Panlaitan,12.12,119.85,301.4,58,56,0.61
223,Porto-Novo,6.5,2.6,301.15,83,40,3.1
224,Pisco,-13.7,-76.22,293.92,88,75,6.2
225,Fort Collins,40.59,-105.08,271.96,45,1,1.5
226,Verkhoyansk,67.54,133.38,235.09,93,0,1.21
227,Waingapu,-9.66,120.26,302.55,72,100,7.7
228,Mortara,45.25,8.74,274.25,92,0,4.1
229,Westport,41.14,-73.36,287.01,82,90,4.6
230,Upernavik,72.79,-56.15,251.19,59,100,1.6
231,Tomatlan,19.93,-105.25,293.01,50,0,1.59
232,Kita,13.03,-9.49,291.74,22,7,1.82
233,Paamiut,61.99,-49.67,263.08,87,100,3.43
234,Hofn,64.25,-15.21,275.52,59,100,7.47
235,Chui,-33.7,-53.46,293.27,71,10,3.0
236,Alta Floresta,-9.88,-56.09,295.75,95,100,1.29
237,Honiara,-9.43,159.95,303.15,74,90,6.2
238,Saldanha,-33.01,17.94,291.11,89,0,5.07
239,New Glasgow,45.58,-62.65,282.06,98,100,6.71
240,Ahipara,-35.17,173.17,292.43,63,17,4.32
241,Coyhaique,-45.58,-72.07,285.15,76,66,1.0
242,Mogocha,53.73,119.77,251.79,91,100,1.7
243,Ojinaga,29.57,-104.42,281.15,28,1,3.6
244,Binga,-17.62,27.34,296.7,81,92,0.72
245,Gofitskoye,45.08,43.05,276.1,84,100,4.43
246,Kindu,-2.95,25.95,293.07,98,100,1.15
247,Tual,-5.67,132.75,302.15,73,100,3.77
248,Tasiilaq,65.61,-37.64,268.15,92,100,2.1
249,Tahe,52.33,124.73,259.8,78,100,2.66
250,Pedernales,18.04,-71.74,293.45,70,0,4.15
251,Codrington,-38.27,141.97,288.6,76,24,4.71
252,Kloulklubed,7.04,134.26,303.15,74,75,4.1
253,Solnechnyy,50.72,136.63,257.08,90,25,1.99
254,Puerto Madryn,-42.77,-65.04,289.58,40,0,3.77
255,Yerbogachen,61.28,108.01,252.25,94,94,5.28
256,Necochea,-38.55,-58.74,288.1,86,12,0.89
257,Cidreira,-30.18,-50.21,297.57,90,54,6.01
258,Tam Ky,15.57,108.48,299.15,69,40,1.0
259,Meulaboh,4.14,96.13,300.0,76,13,1.69
260,Los Algarrobos,8.5,-82.43,296.33,77,5,1.62
261,Pundaguitan,6.37,126.17,300.52,77,33,5.59
262,Ponta Delgada,37.73,-25.67,285.15,81,20,5.1
263,Tiksi,71.69,128.87,246.55,88,67,3.52
264,George Town,5.41,100.34,302.62,79,20,1.5
265,Bodden Town,19.28,-81.25,300.32,78,20,6.2
266,Hirara,24.8,125.28,293.15,72,75,7.2
267,Acapulco de Juarez,16.86,-99.89,300.15,88,75,1.22
268,La Ronge,55.1,-105.28,252.15,70,90,4.1
269,Cayenne,4.93,-52.33,299.15,83,75,3.1
270,San Juan,-31.54,-68.54,303.46,44,23,6.69
271,Rome,43.21,-75.46,289.92,87,90,3.1
272,Rosarito,32.33,-117.03,284.73,76,90,1.5
273,Labrea,-7.26,-64.8,296.75,96,100,1.04
274,Kyren,51.68,102.14,256.56,68,0,2.24
275,Khovd,48.01,91.64,250.46,87,92,0.73
276,Ciudad Lazaro Cardenas,17.96,-102.2,297.5,90,29,1.07
277,Saddiqabad,28.31,70.13,285.67,40,43,8.48
278,Berlevag,70.86,29.09,271.63,94,100,4.07
279,Chumikan,54.72,135.31,256.77,75,100,3.51
280,Waipawa,-41.41,175.52,292.23,72,10,11.3
281,Luau,-10.71,22.22,289.93,94,100,0.88
282,Urengoy,65.97,78.37,258.04,96,100,5.09
283,Visnes,59.36,5.22,279.89,81,65,11.3
284,Nuuk,64.18,-51.72,262.15,72,99,4.6
285,Hobyo,5.35,48.53,298.93,82,97,5.42
286,Ayan,56.45,138.17,257.42,74,100,2.99
287,Saskylakh,71.92,114.08,258.86,92,90,3.77
288,Bahia Honda,22.9,-83.16,296.51,84,29,3.74
289,Cohoes,42.77,-73.7,289.25,68,75,4.1
290,Henties Bay,-22.12,14.28,292.04,82,95,0.89
291,Talnakh,69.49,88.4,259.15,84,75,16.0
292,Farim,12.48,-15.22,291.15,88,100,1.82
293,Kahului,20.89,-156.47,296.01,78,40,5.7
294,Broome,42.25,-75.83,290.14,77,90,5.7
295,Lata,40.16,-8.33,275.48,93,0,2.1
296,Batagay,67.63,134.63,236.07,89,0,0.72
297,San Antonio,29.42,-98.49,281.23,66,1,2.1
298,Dikson,73.51,80.55,253.42,95,100,5.48
299,Povolzhskiy,53.59,49.76,267.15,92,96,1.0
300,Benghazi,32.12,20.07,284.86,64,0,4.83
301,Lorengau,-2.02,147.27,302.16,75,84,5.8
302,Mercedes,-34.65,-59.43,297.21,80,0,0.45
303,Sisophon,13.59,102.97,303.9,44,0,2.15
304,Sola,-13.88,167.55,302.15,83,90,8.95
305,Tilichiki,60.47,166.1,258.9,84,97,4.19
306,Bukama,-9.2,25.85,291.94,98,100,0.76
307,Salto,-31.38,-57.97,297.59,68,0,1.34
308,Koumac,-20.57,164.28,301.58,54,100,3.93
309,Songjianghe,42.19,127.48,262.81,78,42,0.59
310,Ust'-Kut,56.79,105.77,252.75,98,78,1.13
311,Yumen,40.28,97.2,265.62,58,86,4.0
312,Zlynka,52.43,31.74,271.15,100,90,5.0
313,Xai-Xai,-25.05,33.64,295.52,96,9,1.7
314,Safi,32.3,-9.24,281.85,77,0,3.93
315,Tabas,33.6,56.92,278.15,65,100,5.1
316,Daru,-9.08,143.21,298.71,91,100,1.49
317,Altoona,40.52,-78.39,288.41,87,90,4.1
318,Riyadh,24.69,46.72,280.15,57,0,4.1
319,Mount Gambier,-37.83,140.77,294.15,52,40,4.1
320,Mount Isa,-20.73,139.5,313.15,15,100,3.1
321,Nanortalik,60.14,-45.24,265.33,57,62,7.11
322,Bengkulu,-3.8,102.27,301.36,64,97,2.37
323,Cantanhede,-3.63,-44.38,296.24,97,95,1.0
324,Ambatondrazaka,-17.83,48.42,289.9,95,77,1.35
325,Calapi,11.94,125.02,300.74,63,53,3.37
326,Vangaindrano,-23.35,47.6,295.9,95,76,1.21
327,Cabedelo,-6.98,-34.83,297.15,88,20,1.0
328,Santa Marta,11.24,-74.2,303.15,51,20,5.1
329,Pachino,36.72,15.09,278.35,93,47,3.1
330,Arbazh,57.68,48.31,262.0,96,95,3.01
331,Palau,7.5,134.62,303.15,74,75,4.1
332,Nelson,-41.28,173.28,293.48,69,79,0.89
333,Barabai,-2.58,115.38,298.12,88,100,1.76
334,Boromo,11.75,-2.93,295.73,28,0,2.7
335,Muzhi,65.37,64.67,253.88,90,64,0.98
336,Shuyskoye,59.37,41.03,267.67,94,100,3.86
337,Nemuro,43.32,145.57,275.15,59,75,2.6
338,Nome,64.5,-165.41,264.99,85,90,11.3
339,Garoowe,8.41,48.48,295.11,79,28,3.25
340,Kutum,14.2,24.67,281.44,29,100,2.0
341,Dickinson,29.46,-95.05,280.66,81,1,1.5
342,San Miguel de Tucuman,-26.82,-65.22,299.15,83,100,1.46
343,Ercis,39.03,43.36,266.15,79,20,1.5
344,Lompoc,34.64,-120.46,283.53,61,1,5.1
345,Moron,-34.65,-58.62,298.05,65,90,2.1
346,Walvis Bay,-22.96,14.51,291.72,77,100,5.1
347,Mizdah,31.45,12.98,279.39,78,0,0.83
348,Kefamenanu,-9.45,124.48,301.52,67,100,4.62
349,Grand Gaube,-20.01,57.66,300.0,78,75,4.1
350,Baraki Barak,33.97,68.95,268.57,97,100,0.31
351,Erzin,36.96,36.2,280.49,81,75,1.5
352,Capiibary,-24.8,-56.03,297.14,94,65,1.26
353,Talara,-4.58,-81.27,295.04,87,0,5.78
354,Ust-Nera,64.57,143.2,232.18,100,54,1.0
355,Kieta,-6.22,155.63,301.7,75,76,3.02
356,Rawson,-43.3,-65.1,289.46,58,0,3.95
357,Floro,61.6,5.03,276.87,86,100,6.2
358,Cockburn Town,21.46,-71.14,299.52,75,0,13.84
359,Berdigestyakh,62.1,126.7,253.67,98,100,0.95
360,Haines Junction,60.75,-137.51,240.67,94,0,2.33
361,Husavik,66.04,-17.34,267.15,73,38,11.8
362,Nishihara,26.18,127.76,292.35,77,75,6.7
363,Manyana,-23.4,21.72,295.76,65,100,3.25
364,Richards Bay,-28.78,32.04,297.62,84,21,6.09
365,Katherine,-14.47,132.27,306.15,55,40,1.5
366,Kruisfontein,-34.0,24.73,290.82,96,13,3.8
367,Amurskaya Oblast',54.0,128.0,258.28,81,20,4.5
368,Pandan,14.05,124.17,300.44,71,50,5.61
369,Fortuna,40.6,-124.16,278.52,93,90,1.28
370,Ostrovnoy,68.05,39.51,270.12,92,100,7.85
371,Montrose,38.42,-108.27,266.72,57,90,2.84
372,Pitimbu,-7.47,-34.81,297.15,88,20,1.0
373,Ballyhaunis,53.77,-8.77,279.3,99,100,5.36
374,Ravar,31.27,56.81,274.12,58,98,9.12
375,Plouzane,48.38,-4.62,283.74,100,90,11.8
376,Vardo,70.37,31.11,271.33,87,100,4.63
377,Shache,38.42,77.24,267.35,59,100,0.84
378,Pervomayskoye,43.92,46.71,276.42,74,100,3.24
379,Quatre Cocos,-20.21,57.76,299.98,78,75,4.1
380,Timpas,11.48,122.73,300.74,72,94,3.22
381,Kualakapuas,-3.01,114.39,301.15,78,40,2.6
382,Ciudad Bolivar,8.12,-63.55,297.87,72,0,5.86
383,Novouzensk,50.46,48.14,269.57,96,100,5.95
384,Apacilagua,13.48,-87.08,292.07,82,40,5.1
385,Dvinskoy,62.15,45.12,269.47,92,100,3.58
386,Reconquista,-29.15,-59.65,300.7,45,100,3.18
387,Jumla,29.27,82.18,274.65,60,0,1.65
388,Matamoros,25.53,-103.25,284.73,32,5,2.24
389,Gladstone,-23.85,151.25,303.65,66,75,6.2
390,Avera,33.19,-82.53,292.53,100,90,4.1
391,Bandarbeyla,9.49,50.81,298.93,75,8,5.77
392,Touros,-5.2,-35.46,297.15,88,40,1.5
393,Province de Mwaro,-3.5,29.67,286.62,96,100,0.31
394,Nkoteng,4.52,12.03,292.75,99,29,0.62
395,Yulara,-25.24,130.99,304.15,23,40,7.2
396,Itarema,-2.92,-39.92,297.6,90,21,2.31
397,Devonport,-41.17,146.35,295.81,61,1,6.26
398,Bushenyi,-0.59,30.21,289.11,84,88,0.81
399,General Pico,-35.66,-63.76,297.77,62,0,5.96
400,Saint George's,12.06,-61.75,300.15,74,20,8.7
401,Kailua,21.4,-157.74,297.34,83,90,6.7
402,Luis Correia,-2.88,-41.67,296.63,94,66,2.17
403,Norman Wells,65.28,-126.83,253.15,70,75,9.3
404,Churapcha,62.0,132.43,246.1,97,84,2.16
405,Vrises,35.49,23.89,283.53,87,20,2.36
406,Zarubino,42.63,131.09,265.95,71,0,7.28
407,Sandwick,60.0,-1.25,278.61,70,33,15.9
408,Roebourne,-20.78,117.13,309.89,39,50,6.36
409,Christchurch,-43.53,172.63,302.02,30,100,9.3
410,Bangangte,5.14,10.52,292.42,93,83,0.61
411,Lafia,8.48,8.52,296.93,37,7,1.51
412,Yablonovo,50.85,37.36,271.15,79,75,7.0
413,Trapani,37.83,12.67,278.96,75,95,1.5
414,Aksarka,66.56,67.8,253.07,96,100,3.46
415,Abu Samrah,35.3,37.18,279.8,81,100,3.35
416,Tubuala,9.52,-79.03,298.05,88,33,1.5
417,Kidal,18.44,1.41,288.48,19,15,5.67
418,Camargo,27.67,-105.17,283.04,32,36,4.04
419,Tura,25.52,90.22,292.31,59,0,2.09
420,Celestun,20.87,-90.4,299.03,81,62,6.0
421,Belaya Gora,68.53,146.42,237.85,76,5,1.64
422,Rocky Mountain House,52.37,-114.92,251.95,93,100,3.96
423,Caramay,10.18,119.24,302.06,58,100,0.81
424,Kurilsk,45.23,147.88,273.07,80,20,2.56
425,Umm Lajj,25.02,37.27,283.48,43,0,3.35
426,Santa Barbara,34.42,-119.7,283.26,61,1,5.1
427,Kiunga,-6.12,141.29,306.91,47,96,1.42
428,Andenes,69.31,16.12,275.6,100,100,6.2
429,Gloversville,43.05,-74.34,288.45,87,90,3.6
430,Kosh-Agach,50.0,88.67,245.38,80,92,0.43
431,Marabu,4.41,114.01,302.08,79,75,5.1
432,Turaif,31.67,38.66,274.15,100,89,2.1
433,Ilulissat,69.22,-51.1,255.15,40,100,8.7
434,Villa Union,23.2,-106.23,292.68,77,40,1.5
435,Nyurba,63.28,118.33,253.09,95,0,2.34
436,Paraiso,9.84,-83.87,294.05,68,26,5.1
437,Tigil,57.8,158.67,261.65,94,94,5.67
438,Madimba,-10.4,40.33,297.15,94,20,1.47
439,Kaiyuan,23.7,103.3,284.57,83,61,3.18
440,Tiznit,29.58,-9.5,283.15,47,0,5.12
441,Dukat,62.55,155.55,242.04,96,100,2.15
442,Esil,51.96,66.4,255.9,98,90,3.12
443,Dalvik,65.97,-18.53,267.15,73,63,11.8
444,Mtama,-10.3,39.37,295.33,95,100,0.62
445,Arlit,18.74,7.39,292.98,23,0,4.51
446,Takoradze,4.88,-1.76,297.52,91,0,0.95
447,San Antonio Teacalco,19.24,-98.31,284.79,56,0,1.36
448,Talcahuano,-36.72,-73.12,289.15,82,0,3.1
449,Novochernorechenskiy,56.27,91.08,256.26,87,100,2.92
450,Akureyri,65.68,-18.09,267.15,73,0,11.8
451,Dowa,-13.65,33.94,290.36,96,100,2.36
452,Kaitong,44.81,123.15,257.18,77,0,2.12
453,Phalaborwa,-23.94,31.14,295.15,100,21,0.94
454,Fevik,58.38,8.68,280.56,87,96,5.1
455,Kushima,31.46,131.23,282.99,62,75,5.7
456,Kobryn,52.21,24.36,276.15,86,90,3.0
457,Teguldet,57.31,88.17,258.02,94,100,2.28
458,Aranos,-24.13,19.12,297.34,59,100,5.52
459,Livingston,55.9,-3.52,276.28,100,20,3.6
460,Goure,13.98,10.27,293.15,21,0,2.24
461,Chokwe,-24.53,32.98,295.04,97,0,2.18
462,Svetlaya,46.54,138.33,263.98,56,0,2.17
463,Port Lincoln,-34.73,135.87,294.35,57,0,5.56
464,Nizhniy Kuranakh,58.84,125.49,258.18,89,100,4.73
465,Road Town,18.42,-64.62,298.57,65,1,8.2
466,Coquimbo,-29.95,-71.34,288.15,93,0,0.5
467,Llandrindod Wells,52.24,-3.38,282.04,98,100,3.75
468,Kologriv,58.83,44.32,267.61,94,100,3.58
469,Algiers,36.75,3.04,282.15,100,40,2.1
470,Fasa,28.94,53.65,276.15,64,20,3.1
471,Great Bend,38.36,-98.76,266.48,79,1,2.1
472,Adrar,20.5,-10.07,284.61,22,99,3.34
473,Aykhal,66.0,111.5,255.15,84,6,3.0
474,Rio Bueno,-40.32,-72.97,285.11,91,0,2.27
475,Hay River,60.82,-115.8,233.15,65,20,2.1
476,Chara,56.91,118.26,255.31,74,40,1.77
477,Boma,7.08,-2.17,294.3,96,47,0.5
478,Matay,28.42,30.78,279.4,83,41,0.66
